"lhs","rhs","support","confidence","lift","count","kulc","ir","ano","mes","NATUREZA","GESTAO","ZONA","npartos","sem.gest","n.consultas","idade","escolaridade","apgar","cesarea","tmn.geral","tmn.pre","tmn.tar"
"n.consultas=alto,tmn.pre=alto","alto",0.109060402684564,0.844155844155844,2.53331763905782,325,0.585723440708335,0.577397910731244,NA,NA,NA,NA,NA,NA,NA,"alto",NA,NA,NA,NA,NA,"alto",NA
"apgar=alto,tmn.pre=alto","alto",0.171476510067114,0.887152777777778,2.66235173995748,511,0.700877496643169,0.39413988657845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alto",NA,NA,"alto",NA
"apgar=alto,tmn.tar=alto","alto",0.114093959731544,0.829268292682927,2.4886399921401,340,0.585832535062511,0.548447789275635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alto",NA,NA,NA,"alto"
"npartos=baixo,tmn.pre=alto","alto",0.11510067114094,0.93972602739726,2.82012443267254,343,0.642571976437804,0.61871921182266,NA,NA,NA,NA,NA,"baixo",NA,NA,NA,NA,NA,NA,NA,"alto",NA
"cesarea=alto,tmn.pre=alto","alto",0.12248322147651,0.948051948051948,2.84511057924955,365,0.657812479564745,0.600197433366239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alto",NA,"alto",NA
"tmn.pre=alto,tmn.tar=alto","alto",0.153020134228188,0.995633187772926,2.9879022150688,456,0.72742384464175,0.537688442211055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alto","alto"
"sem.gest=alto,tmn.pre=alto","alto",0.15503355704698,0.933333333333333,2.80093991272239,462,0.699295065458208,0.485380116959064,NA,NA,NA,NA,NA,NA,"alto",NA,NA,NA,NA,NA,NA,"alto",NA
"escolaridade=medio,tmn.pre=alto","alto",0.129530201342282,0.891454965357968,2.67526263521324,386,0.640088006344643,0.538461538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medio",NA,NA,NA,"alto",NA
"n.consultas=medio,tmn.pre=alto","alto",0.108389261744966,0.832474226804124,2.49826102303755,323,0.578875582687057,0.571833648393195,NA,NA,NA,NA,NA,NA,NA,"medio",NA,NA,NA,NA,NA,"alto",NA
"ZONA=NORTE,tmn.pre=alto","alto",0.118791946308725,0.823255813953488,2.47059650108902,354,0.589875641115717,0.5266604303087,NA,NA,NA,NA,"NORTE",NA,NA,NA,NA,NA,NA,NA,NA,"alto",NA
"GESTAO=M,tmn.pre=alto","alto",0.252684563758389,0.838530066815145,2.51643464160033,753,0.798419111957421,0.0834797891036907,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,"alto",NA
"NATUREZA=ADMINISTRACAO PUBLICA,tmn.pre=alto","alto",0.278859060402685,0.851434426229508,2.55516071517013,831,0.844146216135902,0.0149384885764499,NA,NA,"ADMINISTRACAO PUBLICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alto",NA
"sem.gest=alto,apgar=alto,tmn.pre=alto","alto",0.103355704697987,0.956521739130435,2.87052848198257,308,0.633346468759578,0.666335650446872,NA,NA,NA,NA,NA,NA,"alto",NA,NA,NA,"alto",NA,NA,"alto",NA
"sem.gest=alto,cesarea=alto,tmn.pre=alto","alto",0.104026845637584,0.971786833855799,2.91633913886232,310,0.641986065467678,0.672654690618762,NA,NA,NA,NA,NA,NA,"alto",NA,NA,NA,NA,"alto",NA,"alto",NA
"NATUREZA=ADMINISTRACAO PUBLICA,cesarea=alto,tmn.pre=alto","alto",0.119798657718121,0.967479674796748,2.90341332416345,357,0.663498145555474,0.62089552238806,NA,NA,"ADMINISTRACAO PUBLICA",NA,NA,NA,NA,NA,NA,NA,NA,"alto",NA,"alto",NA
"NATUREZA=ADMINISTRACAO PUBLICA,sem.gest=alto,tmn.pre=alto","alto",0.153355704697987,0.936475409836066,2.81036930645667,457,0.698348480346029,0.4931640625,NA,NA,"ADMINISTRACAO PUBLICA",NA,NA,NA,"alto",NA,NA,NA,NA,NA,NA,"alto",NA
"NATUREZA=ADMINISTRACAO PUBLICA,sem.gest=alto,tmn.tar=alto","alto",0.105369127516779,0.819843342036554,2.4603556488106,314,0.568028418248891,0.574387947269303,NA,NA,"ADMINISTRACAO PUBLICA",NA,NA,NA,"alto",NA,NA,NA,NA,NA,NA,NA,"alto"
