"lhs","rhs","support","confidence","lift","count","kulc","ir","idade","sexo","escolaridade","renda","tabagismo","hipertensao","diabetes","obesidade","atividade_fisica","desfecho"
"idade=idoso","grave",0.266666666666667,0.888888888888889,2.53968253968254,16,0.825396825396825,0.130434782608696,"idoso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"escolaridade=fundamental","grave",0.25,0.789473684210526,2.25563909774436,15,0.75187969924812,0.08,NA,NA,"fundamental",NA,NA,NA,NA,NA,NA,NA
"obesidade=sim","grave",0.3,0.818181818181818,2.33766233766234,18,0.837662337662338,0.04,NA,NA,NA,NA,NA,NA,NA,"sim",NA,NA
"diabetes=sim","grave",0.333333333333333,0.909090909090909,2.5974025974026,20,0.930735930735931,0.0434782608695652,NA,NA,NA,NA,NA,NA,"sim",NA,NA,NA
"renda=baixa","grave",0.3,0.75,2.14285714285714,18,0.803571428571429,0.111111111111111,NA,NA,NA,"baixa",NA,NA,NA,NA,NA,NA
"atividade_fisica=nao","grave",0.35,0.75,2.14285714285714,21,0.875,0.25,NA,NA,NA,NA,NA,NA,NA,NA,"nao",NA
"tabagismo=sim","grave",0.35,0.75,2.14285714285714,21,0.875,0.25,NA,NA,NA,NA,"sim",NA,NA,NA,NA,NA
"idade=idoso,escolaridade=fundamental","grave",0.183333333333333,1,2.85714285714286,11,0.761904761904762,0.476190476190476,"idoso",NA,"fundamental",NA,NA,NA,NA,NA,NA,NA
"idade=idoso,obesidade=sim","grave",0.216666666666667,1,2.85714285714286,13,0.80952380952381,0.380952380952381,"idoso",NA,NA,NA,NA,NA,NA,"sim",NA,NA
"idade=idoso,diabetes=sim","grave",0.25,0.9375,2.67857142857143,15,0.825892857142857,0.227272727272727,"idoso",NA,NA,NA,NA,NA,"sim",NA,NA,NA
"idade=idoso,renda=baixa","grave",0.216666666666667,1,2.85714285714286,13,0.80952380952381,0.380952380952381,"idoso",NA,NA,"baixa",NA,NA,NA,NA,NA,NA
"idade=idoso,atividade_fisica=nao","grave",0.266666666666667,1,2.85714285714286,16,0.880952380952381,0.238095238095238,"idoso",NA,NA,NA,NA,NA,NA,NA,"nao",NA
"idade=idoso,tabagismo=sim","grave",0.266666666666667,1,2.85714285714286,16,0.880952380952381,0.238095238095238,"idoso",NA,NA,NA,"sim",NA,NA,NA,NA,NA
"idade=idoso,sexo=F","grave",0.133333333333333,1,2.85714285714286,8,0.69047619047619,0.619047619047619,"idoso","F",NA,NA,NA,NA,NA,NA,NA,NA
"escolaridade=fundamental,obesidade=sim","grave",0.25,0.9375,2.67857142857143,15,0.825892857142857,0.227272727272727,NA,NA,"fundamental",NA,NA,NA,NA,"sim",NA,NA
"escolaridade=fundamental,diabetes=sim","grave",0.25,1,2.85714285714286,15,0.857142857142857,0.285714285714286,NA,NA,"fundamental",NA,NA,NA,"sim",NA,NA,NA
"escolaridade=fundamental,atividade_fisica=nao","grave",0.25,0.882352941176471,2.52100840336134,15,0.798319327731092,0.173913043478261,NA,NA,"fundamental",NA,NA,NA,NA,NA,"nao",NA
