"lhs","rhs","support","confidence","lift","count","kulc","ir","idade","tabagismo","diabetes","nivel_risco","sedentario","desfecho"
"nivel_risco=alto_risco","grave",0.211538461538462,1,1.85714285714286,110,0.696428571428571,0.607142857142857,NA,NA,NA,"alto_risco",NA,NA
"diabetes=sim","grave",0.25,0.928571428571429,1.72448979591837,130,0.696428571428571,0.482758620689655,NA,NA,"sim",NA,NA,NA
"tabagismo=sim","grave",0.269230769230769,0.823529411764706,1.52941176470588,140,0.661764705882353,0.354838709677419,NA,"sim",NA,NA,NA,NA
"sedentario=nao","grave",0.326923076923077,0.85,1.57857142857143,170,0.728571428571429,0.258064516129032,NA,NA,NA,NA,"nao",NA
"nivel_risco=leve_stress","grave",0.326923076923077,0.80952380952381,1.50340136054422,170,0.708333333333333,0.21875,NA,NA,NA,"leve_stress",NA,NA
"idade=jovem","grave",0.288461538461538,0.6,1.11428571428571,150,0.567857142857143,0.0789473684210526,"jovem",NA,NA,NA,NA,NA
"idade=adulto,diabetes=sim","grave",0.0576923076923077,1,1.85714285714286,30,0.553571428571429,0.892857142857143,"adulto",NA,"sim",NA,NA,NA
"idade=idoso,diabetes=sim","grave",0.153846153846154,1,1.85714285714286,80,0.642857142857143,0.714285714285714,"idoso",NA,"sim",NA,NA,NA
"idade=idoso,tabagismo=sim","grave",0.153846153846154,0.888888888888889,1.65079365079365,80,0.587301587301587,0.655172413793103,"idoso","sim",NA,NA,NA,NA
"idade=idoso,sedentario=sim","grave",0.153846153846154,0.615384615384615,1.14285714285714,80,0.450549450549451,0.454545454545455,"idoso",NA,NA,NA,"sim",NA
"tabagismo=sim,diabetes=sim","grave",0.211538461538462,1,1.85714285714286,110,0.696428571428571,0.607142857142857,NA,"sim","sim",NA,NA,NA
"idade=jovem,tabagismo=sim","grave",0.0576923076923077,1,1.85714285714286,30,0.553571428571429,0.892857142857143,"jovem","sim",NA,NA,NA,NA
"tabagismo=sim,sedentario=sim","grave",0.211538461538462,1,1.85714285714286,110,0.696428571428571,0.607142857142857,NA,"sim",NA,NA,"sim",NA
"idade=jovem,sedentario=nao","grave",0.288461538461538,1,1.85714285714286,150,0.767857142857143,0.464285714285714,"jovem",NA,NA,NA,"nao",NA
"tabagismo=nao,sedentario=nao","grave",0.269230769230769,1,1.85714285714286,140,0.75,0.5,NA,"nao",NA,NA,"nao",NA
"idade=jovem,nivel_risco=leve_stress","grave",0.288461538461538,0.9375,1.74107142857143,150,0.736607142857143,0.413793103448276,"jovem",NA,NA,"leve_stress",NA,NA
"tabagismo=nao,nivel_risco=leve_stress","grave",0.269230769230769,0.933333333333333,1.73333333333333,140,0.716666666666667,0.448275862068966,NA,"nao",NA,"leve_stress",NA,NA
"diabetes=nao,nivel_risco=leve_stress","grave",0.288461538461538,0.833333333333333,1.54761904761905,150,0.68452380952381,0.32258064516129,NA,NA,"nao","leve_stress",NA,NA
