"CNES","COMPETEN","data","ano","mes","tmn","tmn_pre","tmn_tar","NOME","NATUREZA","GESTAO","ZONA","npartos","sem.gest","n.consultas","idade","escolaridade","apgar","cesarea","tmn.geral","tmn.pre","tmn.tar"
2269384,200601,2006-01-01,2006,"01",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","alto","baixo","alto","baixo","medio","baixo","baixo","baixo"
2269384,200602,2006-02-01,2006,"02",10.2040816326531,10.2040816326531,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","medio","baixo","medio","alto","baixo"
2269384,200603,2006-03-01,2006,"03",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","medio","baixo","baixo","baixo","baixo"
2269384,200604,2006-04-01,2006,"04",20.6185567010309,20.6185567010309,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","baixo","baixo","alto","alto","baixo"
2269384,200605,2006-05-01,2006,"05",26.7857142857143,26.7857142857143,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","alto","baixo","alto","alto","baixo"
2269384,200606,2006-06-01,2006,"06",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","alto","baixo","alto","medio","baixo","baixo","baixo","baixo"
2269384,200607,2006-07-01,2006,"07",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","alto","baixo","baixo","baixo","baixo"
2269384,200608,2006-08-01,2006,"08",27.7777777777778,27.7777777777778,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","alto","baixo","alto","alto","baixo"
2269384,200609,2006-09-01,2006,"09",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","medio","medio","alto","alto","baixo","baixo","baixo","baixo"
2269384,200610,2006-10-01,2006,"10",17.3913043478261,0,17.3913043478261,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","medio","medio","alto","medio","baixo","alto","baixo","alto"
2269384,200611,2006-11-01,2006,"11",20.8333333333333,20.8333333333333,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","alto","medio","alto","alto","baixo"
2269384,200612,2006-12-01,2006,"12",19.6078431372549,19.6078431372549,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","alto","medio","alto","alto","baixo","alto","alto","baixo"
2269384,200701,2007-01-01,2007,"01",7.69230769230769,7.69230769230769,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","medio",NA,"alto","baixo","baixo","medio","medio","baixo"
2269384,200702,2007-02-01,2007,"02",8.69565217391304,0,8.69565217391304,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","alto",NA,"alto","medio","baixo","medio","baixo","alto"
2269384,200703,2007-03-01,2007,"03",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","medio",NA,"alto","medio","baixo","baixo","baixo","baixo"
2269384,200704,2007-04-01,2007,"04",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","alto",NA,"alto","alto","baixo","baixo","baixo","baixo"
2269384,200705,2007-05-01,2007,"05",26.3157894736842,26.3157894736842,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","medio",NA,"alto","alto","baixo","alto","alto","baixo"
2269384,200706,2007-06-01,2007,"06",16.260162601626,16.260162601626,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","alto",NA,"alto","baixo","baixo","alto","alto","baixo"
2269384,200707,2007-07-01,2007,"07",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio",NA,"alto","baixo","medio","baixo","baixo","baixo"
2269384,200708,2007-08-01,2007,"08",11.3636363636364,0,11.3636363636364,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio",NA,"alto","medio","baixo","medio","baixo","alto"
2269384,200709,2007-09-01,2007,"09",9.61538461538462,9.61538461538462,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio",NA,"alto","alto","baixo","medio","alto","baixo"
2269384,200710,2007-10-01,2007,"10",9.9009900990099,9.9009900990099,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio",NA,"alto","alto","baixo","medio","alto","baixo"
2269384,200711,2007-11-01,2007,"11",10.3092783505155,10.3092783505155,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio",NA,"alto","alto","baixo","medio","alto","baixo"
2269384,200712,2007-12-01,2007,"12",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio",NA,"alto","medio","baixo","baixo","baixo","baixo"
2269384,200801,2008-01-01,2008,"01",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","medio","baixo","alto","baixo","alto","medio","baixo","baixo","baixo","baixo"
2269384,200802,2008-02-01,2008,"02",25.6410256410256,25.6410256410256,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","alto","alto","alto","medio","alto","alto","baixo"
2269384,200803,2008-03-01,2008,"03",11.3636363636364,11.3636363636364,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","alto","baixo","medio","alto","baixo"
2269384,200804,2008-04-01,2008,"04",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","medio","alto","medio","baixo","baixo","baixo","baixo"
2269384,200805,2008-05-01,2008,"05",10,10,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","alto","baixo","medio","alto","baixo"
2269384,200806,2008-06-01,2008,"06",18.348623853211,18.348623853211,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","alto","baixo","alto","alto","baixo","alto","alto","baixo"
2269384,200807,2008-07-01,2008,"07",10.4166666666667,10.4166666666667,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","alto","baixo","alto","alto","baixo","medio","alto","baixo"
2269384,200808,2008-08-01,2008,"08",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","alto","baixo","alto","medio","baixo","baixo","baixo","baixo"
2269384,200809,2008-09-01,2008,"09",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","medio","medio","baixo","baixo","baixo","baixo"
2269384,200810,2008-10-01,2008,"10",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","alto","baixo","baixo","baixo","baixo"
2269384,200811,2008-11-01,2008,"11",0,0,0,"HOSPITAL FEDERAL DO ANDARAI","ADMINISTRACAO PUBLICA","M","NORTE","baixo","baixo","medio","baixo","alto","baixo","baixo","baixo","baixo","baixo"
